Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C2, C3, C4, C5, C6, C8",0805,10,10uF,
"C10, C11, C7",0805,3,100nF,
"C15, C16, C9",0805,3,1uF,
"CH1, CH10, CH12, CH13, CH14, CH15, CH16, CH18, CH19, CH2, CH20, CH21, CH22, CH24, CH25, CH26, CH27, CH28, CH29, CH30, CH31, CH32, CH33, CH34, CH35, CH36, CH37, CH38, CH39, CH40, CH41, CH42, CH43, CH44, CH45, CH46, CH47, CH48, CH49, CH50, CH51, CH52, CH53, CH54, CH55, CH56, CH57, CH58, CH59, CH60, CH61, CH62, CH63, CH64, CH65, CH67, CH7, CH74, CH75, CH76, CH77, CH78, CH79, CH8, CH80, CH81, CH82, CH83, CH84, CH85, CH9",SW_KS33_HS_KS-2P02B01-02_1u,71,KS33_SW_HS,
"CH11, CH17, CH5, CH6, CH66, CH71, CH72, CH73",SW_KS33_HS_KS-2P02B01-02_1.25u,8,KS33_SW_HS,
CH23,SW_KS33_HS_KS-2P02B01-02_6.25,1,KS33_SW_HS,
CH3,SW_KS33_HS_KS-2P02B01-02_1.5u,1,KS33_SW_HS,
CH4,SW_KS33_HS_KS-2P02B01-02_1.75u,1,KS33_SW_HS,
CH68,SW_KS33_HS_KS-2P02B01-02_2u,1,KS33_SW_HS,
CH69,SW_KS33_HS_KS-2P02B01-02_Enter,1,KS33_SW_HS,
CH70,SW_KS33_HS_KS-2P02B01-02_2.75u,1,KS33_SW_HS,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D9",D_DO-35_SOD27_P7.62mm_Horizontal,85,D_Small,
J1,PinHeader_1x04_P1.00mm_Vertical,1,JTAG,
J2,PinHeader_1x02_P1.00mm_Vertical,1,3.3V,
J3,PinHeader_1x02_P1.00mm_Vertical,1,5V,
LDO1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,ME6211C33M5G-N,C82942
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED82, LED83, LED84, LED85, LED86, LED87, LED88, LED89, LED9, LED90, LED91, LED92, LED93, LED94",LED_KS33_6028R,94,KS33_SK6812MINI-E,
Q1,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,CJ2301 S1,C8547
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,SI2302_C2891732,C2891732
"R1, R2, R5",0805,3,10k,
"R3, R4, R6",0805,3,5.1k,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,1,RotaryEncoder_Switch,
"SW2, SW3",SW-SMD_L3.9-W2.9-LS5.0,2,GT-TC029A-H020-L1N,C778164
TP1,TestPoint_Pad_D1.0mm,1,RX,
TP2,TestPoint_Pad_D1.0mm,1,TX,
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1(N8R2),C2913204
U2,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
U3,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,SL2.1A,C192893
"USB1, USB2",USB-A-TH_USB-A-F-90,2,KH-AF90DIP-112,C503996
USB3,USB-A-TH_USB-A-F-90,1,DNP,C503996
